rule_key,rule_group,page,modality,applicability,confidence,mvp_tier,required_shots,dup_count,check_method,rule_text
workout-walls-dark-gray-to-28in,paint,15,must,needs_scale_reference,high,phase2_measure,logo_wall;workout_walls,2,"Confirm a dark-gray band at the base of the workout walls and measure its height to ~28in via a known reference; color family checkable from photo, exact height needs scale.",Workout room walls and back-of-studio supporting areas must be painted dark gray from the floor up to 28 inches (70cm) above finished floor.
colors-used-external-and-internal-logo-wall,paint,8,must,auto_vision,medium,human_queue,logo_wall;workout_walls,1,Vision model checks that the external signage and the main interior logo wall use the F45 red/gray palette rather than arbitrary colors.,These color schemes must be used in F45 Training external signage and on the F45 Training internal logo placed on the main interior wall.
dark-gray-zone-application,paint,9,must,auto_vision,high,human_queue,logo_wall;workout_walls,1,Vision model verifies decal walls read as the darker of the two grays relative to the light-gray feature wall.,Dark gray paint is used on decal walls and sections of the training floor.
light-gray-above-red-stripe-to-ceiling,paint,15,must,auto_vision,high,human_queue,logo_wall;workout_walls,2,Vision model verifies the upper wall band (above the red stripe) reads as the lighter gray continuing to the ceiling.,The wall must be painted light gray from the top of the red stripe up to the ceiling.
light-gray-zone-application,paint,9,must,auto_vision,high,human_queue,logo_wall;workout_walls,1,Vision model verifies the logo feature wall and entry/reception area read as light gray (lighter of the two grays).,"Light gray paint is used on the main logo feature wall, entry area, and sections of the training floor."
palette-two-grays-plus-red-accent,paint,15,must,auto_vision,high,human_queue,logo_wall;workout_walls,2,Vision model verifies the overall interior is two gray tones with a red stripe accent on the workout-space front/back walls.,The studio color palette must be two tones of gray with an accented red stripe featured on the front and back walls of the workout space.
retail-area-dark-gray-floor-to-ceiling,paint,17,must,auto_vision,medium,human_queue,logo_wall;workout_walls,1,"Vision model confirms the retail-area wall reads as the darker gray, full height, with wall-affixed retail racks present.","The retail area must be painted the darker shade of gray from floor to ceiling, with retail racks affixed to the wall."
color-schemes-no-modify,paint,8,must,needs_metadata_or_context,high,human_queue_metadata,logo_wall;workout_walls,1,"Vision model can flag obviously off-palette walls (e.g. a green or yellow wall) but cannot confirm exact swatch compliance; verifying the precise specified codes requires paint SKU/receipt metadata, not a phone photo.",Studios must strictly adhere to the F45 color schemes and must not modify these colors in any manner.
dark-gray-dulux-noble-gray,paint,9,must,needs_metadata_or_context,high,human_queue_metadata,logo_wall;workout_walls,1,Vision model confirms dark gray family only; exact Dulux SKU needs metadata.,Compliant dark gray paint option: Dulux 30BB 10/019 | Noble Gray.
dark-gray-sherwin-williams-peppercorn,paint,9,must,needs_metadata_or_context,high,human_queue_metadata,logo_wall;workout_walls,1,Vision model confirms decal walls read as the darker of the two grays; exact SW7674 swatch requires metadata.,Compliant dark gray paint option: Sherwin Williams SW 7674 | Peppercorn (used on decal walls and sections of the training floor; also referenced as the FRP panel color 'Pebbled (Peppercorn)').
dark-gray-wattyl-opera-grey,paint,9,must,needs_metadata_or_context,high,human_queue_metadata,logo_wall;workout_walls,1,Vision model confirms dark gray family only; exact Wattyl SKU needs metadata.,Compliant dark gray paint option: Wattyl CW23.4 | Opera Grey.
dark-gray-wattyl-solar-eclipse,paint,9,must,needs_metadata_or_context,high,human_queue_metadata,logo_wall;workout_walls,1,Vision model confirms dark gray family only; exact Wattyl SKU needs metadata.,Compliant dark gray paint option: Wattyl CW22.6 | Solar Eclipse.
frp-encouraged-chin-up-bar-wall,paint,15,should,needs_metadata_or_context,high,human_queue_metadata,logo_wall;workout_walls,1,"Vision model can look for a panel band on the chin-up-bar wall, but it is a recommendation and material/wall identity needs context.",FRP is strongly encouraged along the chin up bar wall as well.
frp-mandatory-sled-track-wall,paint,15,must,needs_metadata_or_context,high,human_queue_metadata,logo_wall;workout_walls,2,"Vision model can detect a panel-textured lower wall band on the sled track wall, but confirming it is FRP (vs painted dark gray) and that it is the sled track wall needs context/material metadata.","An FRP (Fiberglass Reinforced Plastic) panel is mandatory along the sled track wall, covering the dark gray section of the wall."
frp-supplier-color-peppercorn,paint,15,must,needs_metadata_or_context,high,human_queue_metadata,logo_wall;workout_walls,1,Confirming the FRP brand/finish requires supplier invoice/spec metadata; color family (dark gray/Peppercorn) can be eyeballed but not the SKU.,"The mandatory FRP material must be the specified product: Manufacturer Haines, Jones & Cadbury LLC, finish color 'Pebbled (Peppercorn)'."
interior-entire-painted-per-spec,paint,9,must,needs_metadata_or_context,high,human_queue_metadata,logo_wall;workout_walls,2,"Vision model can confirm presence/absence of paint on doors and ceiling and whether the palette family is correct, but exact code compliance and any HQ exemption require metadata.","The entire interior of the studio must be painted per the document's paint codes, including walls (floor to ceiling), internal doors, and ceiling, unless prior written approval of F45 HQ is obtained."
light-gray-benjamin-moore-gray,paint,9,must,needs_metadata_or_context,high,human_queue_metadata,logo_wall;workout_walls,1,Vision model confirms light gray family only; exact Benjamin Moore SKU needs metadata.,Compliant light gray paint option: Benjamin Moore 2121-10 | Gray.
light-gray-dulux-surreal-blue,paint,9,must,needs_metadata_or_context,high,human_queue_metadata,logo_wall;workout_walls,1,Vision model confirms a light gray wall only; exact Dulux tint/ratio needs paint metadata.,Compliant light gray paint option: Dulux 30BB 45/015 w/2:1 ratio | Surreal Blue.
light-gray-sherwin-williams-swanky-gray,paint,9,must,needs_metadata_or_context,high,human_queue_metadata,logo_wall;workout_walls,1,Vision model confirms the logo/feature wall and entry are a light gray family; exact SW6261 swatch requires metadata.,"Compliant light gray paint option: Sherwin Williams SW6261 | Swanky Gray (the primary light gray used on the logo feature wall, entry area, and sections of the training floor)."
logo-and-reception-walls-light-gray-floor-ceiling,paint,15,must,needs_metadata_or_context,high,human_queue_metadata,logo_wall;workout_walls,2,Vision confirms light-gray family floor-to-ceiling on logo and reception walls; exact SKU needs paint docs/reference.,The walls featuring the F45 logo and V-design backdrop (internal logo wall and front reception/desk wall) must be painted light gray from floor to ceiling.
logo-wall-light-gray-floor-to-ceiling,paint,12,must,needs_metadata_or_context,high,human_queue_metadata,logo_wall;workout_walls,1,Vision can confirm the wall reads as a light gray family from floor to ceiling; matching the exact SW6261 SKU needs a calibrated color reference or paint documentation.,The entire wall on which the F45 Training logo is installed must be painted light gray (Sherwin Williams SW6261 | Swanky Gray) from floor to ceiling.
red-paint-british-paints-red-bauble,paint,9,must,needs_metadata_or_context,high,human_queue_metadata,logo_wall;workout_walls,1,Vision model confirms red color family only; exact British Paints SKU needs metadata.,Compliant red paint option: British Paints 186 | Red Bauble.
red-paint-dulux-matador,paint,9,must,needs_metadata_or_context,high,human_queue_metadata,logo_wall;workout_walls,1,Vision model can confirm the stripe reads as red but cannot identify the exact Dulux SKU from a photo; requires paint receipt/can label metadata.,Compliant red paint option: Dulux 16YR 16/594 | Matador.
red-paint-sherwin-williams-real-red,paint,9,must,needs_metadata_or_context,high,human_queue_metadata,logo_wall;workout_walls,1,Vision model confirms red color family only; exact Sherwin Williams SKU needs metadata.,Compliant red paint option: Sherwin Williams SW 6868 | Real Red.
red-paint-taubmans-hic-red,paint,9,must,needs_metadata_or_context,high,human_queue_metadata,logo_wall;workout_walls,1,Vision model confirms red color family only; exact Taubmans SKU needs metadata.,Compliant red paint option: Taubmans T12 25.H1 | Hi-C Red.
retail-area-dark-gray-floor-ceiling,paint,17,must,needs_metadata_or_context,high,human_queue_metadata,logo_wall;workout_walls,1,Vision confirms a dark-gray family floor-to-ceiling in the retail area; exact SKU needs docs.,The retail area must be painted in the darker shade of gray from floor to ceiling.
v-must-use-specified-colors,paint,13,must,needs_metadata_or_context,high,human_queue_metadata,logo_wall;workout_walls,1,Vision model confirms two-tone V with a darker top and lighter bottom; exact code match requires metadata.,"The painted V design must be painted in the specific colors outlined (SW6260 Unique Gray upper, SW6259 Spatial White lower)."
v-wall-light-gray-floor-to-ceiling,paint,"13, 14",must,needs_metadata_or_context,high,human_queue_metadata,logo_wall;workout_walls,1,Vision model confirms the V wall is a continuous light gray from floor to ceiling; exact SW6261 swatch requires paint metadata.,The wall carrying the V design must be painted light gray (Sherwin Williams SW6261 | Swanky Gray) from floor to ceiling.
v-wall-light-gray-floor-to-ceiling,paint,13,must,needs_metadata_or_context,high,human_queue_metadata,logo_wall;workout_walls,1,Vision confirms light-gray family floor-to-ceiling behind the V; exact SW6261 SKU needs a calibrated reference or paint docs.,The V-design feature wall must be painted light gray (Sherwin Williams SW6261 | Swanky Gray) from floor to ceiling.
racing-stripe-perforated-not-visible-inside,perforated-vinyl,25,must,auto_vision,medium,human_queue,storefront,1,Close-up exterior shot: detect perforation dot texture on the stripe vinyl. Internal non-visibility is a property of perforated one-way film.,"The racing stripe, like window wraps, must be fabricated using perforated material so that it is not visible from the inside of the studio."
window-wrap-perforated-oneway,perforated-vinyl,37,must,auto_vision,medium,human_queue,storefront,1,Zoom on the window wrap surface in the photo; detect the regular micro-perforation dot pattern characteristic of one-way vinyl versus a solid opaque print. Exterior close-up shows the dotted halftone texture.,All window wraps must be printed on perforated material so members can see from the inside out (one-way view).
adhere-to-other-policies,process,4,must,needs_metadata_or_context,high,human_queue_metadata,na,1,Open-ended obligation referencing external policies; cannot be tested from a photo without knowing the full current policy set.,The franchisee must also adhere to any other policy or requirement implemented by F45 from time to time; this document does not set out the totality of obligations.
aframe-bleed,process,46,process,needs_metadata_or_context,high,human_queue_metadata,na,1,"Print-file spec; verifiable only from the production artwork, not the installed A-frame.","The A-frame artwork must allow for 0.5cm / 1.27"" bleed on all sides."
all-signage-must-be-hq-approved,process,5,must,needs_metadata_or_context,high,human_queue_metadata,na,1,"A photo can show signage exists, but whether that specific signage was HQ-approved requires the approval record, which is not in the image.",All signage inside and outside the studio must be approved by F45 before it is valid.
approval-before-installation,process,"5,6",must,needs_metadata_or_context,high,human_queue_metadata,na,1,Sequencing of approval vs. fabrication/installation is a timeline fact in HQ records; a single post-install photo cannot establish it.,The franchisee must obtain F45 approval prior to the installation or erection of any signage (do not fabricate or install before HQ approval).
compliance-hierarchy-order,process,38,must,needs_metadata_or_context,high,human_queue_metadata,na,1,"Vision can identify which tier is physically present, but verifying the studio is at the *highest feasible* tier (i.e., did not skip to a lower tier without justification) requires landlord-restriction context.","The window signage compliance hierarchy must be followed in order of preference: (1) full window wrap kit + complete door decal, then if restricted (2) racing stripes, then if still impossible (3) door-decal-only."
external-proposal-include-additional-details,process,6,must,needs_metadata_or_context,high,human_queue_metadata,na,1,"Open-ended proposal-content requirement; depends on HQ's requests, not on a photo.",The external signage proposal must include any additional details requested by F45 HQ from time to time.
external-proposal-may-submit-after-site-approval,process,6,optional,needs_metadata_or_context,high,human_queue_metadata,na,1,Permissive submission-timing rule; not photographable.,The franchisee may submit the external signage proposal as soon as the site has been approved by F45 HQ.
external-proposal-show-exterior-with-overlay,process,6,must,needs_metadata_or_context,high,human_queue_metadata,na,1,Proposal-content requirement; checkable only against the submitted external proposal document.,"The external signage proposal must show, in a photograph, the exterior surface of the Premises with the proposed signage overlaid on top of the relevant image."
external-proposal-show-measurements,process,6,must,needs_metadata_or_context,high,human_queue_metadata,na,1,Proposal-content requirement; checkable only against the submitted external proposal document.,The external signage proposal must show the measurements for the signage so F45 HQ can verify it will be installed in accordance with F45 HQ specifications.
external-signage-config-hq-determined,process,20-24,process,needs_metadata_or_context,high,human_queue_metadata,na,1,Which option a given site should have is an HQ determination tied to the submission; a photo cannot establish which option was assigned to this site.,"The specific external signage configuration (e.g. Option 1, 2, 3 or full external signage) varies by site and is determined by F45 following receipt of the franchisee's submission."
external-submission-follows-example-format,process,7,should,needs_metadata_or_context,medium,human_queue_metadata,na,1,"Compares the submitted external proposal layout against the document's example; concerns the submission artifact, not the installed studio.",The external signage submission should follow the format of the worked example provided in the document (page 7 shows how an external signage submission should look).
fallback-door-decal-only-last-resort,process,38,must,needs_metadata_or_context,high,human_queue_metadata,na,2,"Vision can confirm a door decal exists with no wraps and no stripes, but the legitimacy of dropping to this lowest tier depends on the documented inability to install wraps/stripes, which is not in the photo.","If the studio cannot install any window wraps or racing stripes, installing only the new door decal will be considered compliant (the last tier of the fallback hierarchy)."
fallback-racing-stripe-when-wrap-restricted,process,38,must,needs_metadata_or_context,high,human_queue_metadata,na,1,"Vision can confirm a racing stripe is present in place of a full wrap, but determining that the fallback is *justified* requires knowing the landlord restriction exists (context/metadata). Photo alone cannot prove the wrap was 'prevented' vs simply omitted.","If landlord restrictions prevent installing the entire window wrap kit, the studio must instead install new racing stripes (per page 25)."
fallback-requires-landlord-letter,process,38,must,needs_metadata_or_context,high,human_queue_metadata,na,1,"This is a document-existence check, not a photo check. Verify a landlord letter or cited lease clause is on file and that HQ approval was granted before omission.","Before HQ approves a studio to omit window wraps or the window racing stripe, the franchisee must provide a letter from the landlord (or a specific lease section) confirming window signage is not permitted."
franchisee-sources-and-pays-signage,process,5,must,needs_metadata_or_context,high,human_queue_metadata,na,1,"Sourcing/payment responsibility is a procurement fact in receipts/records, not visible in a studio photo.","The franchisee is responsible for sourcing and paying for internal and external signage, as these are not supplied by F45."
google-review-cling-canva-template,process,43,process,needs_metadata_or_context,low,human_queue_metadata,na,1,Provenance/production step; vision can confirm the cling resembles the template but not that the official template was used.,The Google Review cling artwork is provided as a template in Canva and Playbook and should be produced from that template (printed as a sticker or window cling at a local printer).
internal-proposal-include-additional-details,process,6,must,needs_metadata_or_context,high,human_queue_metadata,na,1,"Open-ended proposal-content requirement; depends on HQ's specific requests, not on a studio photo.",The internal signage proposal must include any additional details requested by F45 HQ from time to time.
internal-proposal-may-submit-after-site-approval,process,6,optional,needs_metadata_or_context,high,human_queue_metadata,na,1,Permissive timing rule about submission; not photographable.,"Once the site has been approved, the franchisee may submit the internal signage proposal to F45 HQ at any time."
internal-proposal-recommend-after-floorplan,process,6,should,needs_metadata_or_context,high,human_queue_metadata,na,1,"Timing of proposal submission relative to floorplan approval is a workflow fact, not in a photo.","After the site is approved the franchisee may submit the internal signage proposal at any time, but it is recommended to wait until the floorplan has been approved before submitting any signage proposal."
internal-proposal-show-measurements,process,6,must,needs_metadata_or_context,high,human_queue_metadata,na,1,Proposal-content requirement; checkable only against the submitted proposal document.,The internal signage proposal must show the measurements for the signage so F45 HQ can verify it will be installed in accordance with F45 HQ specifications.
internal-proposal-show-walls-with-overlay,process,6,must,needs_metadata_or_context,high,human_queue_metadata,na,1,"A content requirement of the submitted proposal document; tested against the proposal PDF, not the finished studio.","The internal signage proposal must show, in a photograph, the walls on which signage is to be installed, with the proposed signage overlaid on top of the relevant image."
internal-signage-submit-approval,process,10,must,needs_metadata_or_context,high,human_queue_metadata,na,1,Requires the HQ approval record/email; not visible in a studio photo.,The internal signage proposal must be submitted to F45 HQ for review and written approval before fabrication/installation; HQ confirms in writing whether it is approved or needs modification.
keep-document-confidential,process,4,must,needs_metadata_or_context,high,human_queue_metadata,na,1,"Confidentiality and reproduction are document-handling behaviours, not features of a studio photo.","The franchisee is required to keep this document confidential except where the law allows sharing, and may not reproduce it in whole or in part without F45's prior written consent."
keep-document-updated-from-intranet,process,3,should,needs_metadata_or_context,high,human_queue_metadata,na,1,Currency of the franchisee's knowledge against the latest Playbook version is not observable in a photo; needs version/context data.,"The franchisee is encouraged to keep up to date with the policies and procedures on the F45 Intranet (F45Playbook.com), and is given reasonable time to effect changes when requirements are updated."
landlord-letter-required-to-skip-window-signage,process,"25, 38",process,needs_metadata_or_context,high,human_queue_metadata,na,1,"This is a documentation/approval workflow step; verification requires the landlord letter or lease clause and HQ approval record, none of which are in a storefront photo.","Before HQ approves a studio not installing window wraps or the window racing stripe, the franchisee must provide a letter from the landlord or a specific lease section confirming window signage is not permitted."
large-teardrop-banner-bleed,process,45,process,needs_metadata_or_context,high,human_queue_metadata,na,1,Bleed is a print-file/artwork prep spec not visible in the finished installed banner; verifiable only from the production artwork file.,"The large teardrop banner artwork must allow for 2"" bleed on all sides."
legacy-internal-signage-not-installed,process,5,must,needs_metadata_or_context,medium,human_queue_metadata,na,1,Requires knowing the current vs legacy decal artwork to distinguish them; a vision model can flag old-style artwork only if given reference images of legacy vs current designs.,"Legacy F45 internal signage designs/decals (which may ship in the equipment pack) must not be installed, as they are no longer compliant."
logo-opacity-agreed-in-production,process,20,process,needs_metadata_or_context,medium,human_queue_metadata,na,1,Whether the installed opacity matches what was agreed requires the production agreement record; a photo cannot establish the agreed value.,The opacity of the glass logo lockup / door decal is to be agreed in production with F45.
no-alter-after-approval,process,5,must,needs_metadata_or_context,high,human_queue_metadata,na,1,Detecting an alteration requires comparing the installed photo against the specific approved rendering on file; the baseline is not in the photo.,"Once approval is obtained, the franchisee must not alter or modify the signage in any manner, and installation must strictly accord with the terms of the F45 approval."
no-modification-after-install,process,6,must,needs_metadata_or_context,high,human_queue_metadata,na,1,"Detecting unauthorized modifications requires comparison against the approved baseline submission, not available in a single photo.","Once internal signage is installed, it must not be altered, modified, or supplemented with additional signage without prior written approval from F45 HQ."
no-modify-or-add-after-install,process,6,must,needs_metadata_or_context,high,human_queue_metadata,na,1,Requires comparing against the approved baseline and checking for any written approval of additions; neither is in the photo.,"Once signage is installed, the franchisee must not alter or modify it or install additional signage without prior written approval from F45 HQ."
posters-additional-branding-presence,process,41,optional,needs_metadata_or_context,low,human_queue_metadata,na,1,The posters page provides options/imagery without explicit installation constraints; no measurable mandatory rule beyond using approved poster artwork.,Posters are provided as an additional signage and branding option for the studio.
proposal-single-document-pdf,process,6,must,needs_metadata_or_context,high,human_queue_metadata,na,1,"A property of the submitted proposal file, not of the installed studio; checkable only against the submission artifact.","Each signage proposal (internal and external) must be in a single document, preferably a PDF."
